date,time_interval,north_ave_entry,north_ave_exit,quezon_ave_entry,quezon_ave_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit
,,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit
2026-01-01,03:00 - 03:59,,,,,,,,,,,,
2026-01-01,04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-01,05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-01,06:00 - 06:59,421,0,376,156,310,140,759,410,42,55,369,193
2026-01-01,07:00 - 07:59,587,796,386,397,414,462,782,1150,74,100,496,388
2026-01-01,08:00 - 08:59,584,529,392,338,413,372,820,882,36,83,265,345
2026-01-01,09:00 - 09:59,752,683,502,368,438,401,951,1045,36,129,246,418
2026-01-01,10:00 - 10:59,1000,766,616,408,619,354,1395,1131,40,186,217,511
2026-01-01,11:00 - 11:59,1467,1028,848,422,715,405,1701,1464,58,330,222,823
2026-01-01,12:00 - 12:59,1169,1106,795,493,753,395,1644,1426,66,263,205,699
2026-01-01,13:00 - 13:59,1275,1001,743,500,645,416,1696,1394,92,179,265,637
2026-01-01,14:00 - 14:59,1348,1131,719,448,703,501,1832,1544,117,128,351,459
2026-01-01,15:00 - 15:59,1548,1226,735,603,615,497,1962,1746,141,108,532,580
2026-01-01,16:00 - 16:59,1664,1357,663,635,698,564,1996,1916,124,165,527,577
2026-01-01,17:00 - 17:59,1279,1283,645,617,656,550,2051,1821,128,158,523,595
2026-01-01,18:00 - 18:59,1291,1058,536,573,609,587,1363,1818,125,75,583,448
2026-01-01,19:00 - 19:59,1367,1090,417,611,465,577,1564,1781,168,105,529,403
2026-01-01,20:00 - 20:59,1268,967,438,633,383,460,1531,1694,121,67,585,434
2026-01-01,21:00 - 21:59,1037,967,333,711,273,462,1400,1650,251,75,614,384
2026-01-01,22:00 - 22:59,327,826,72,652,108,475,476,1254,259,46,904,191
2026-01-01,23:00 - 23:59,0,273,4,288,0,111,28,257,22,8,110,38
2026-01-01,00:00 - 00:59,,,,,,,,,,,,
2026-01-01,01:00 - 01:59,,,,,,,,,,,,
2026-01-01,02:00 - 02:59,,,,,,,,,,,,
,TOTAL,18384,16087,9220,8853,8817,7729,23951,24383,1900,2260,7543,8123
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-01-02 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,
,TIME,North Ave,,Quezon Ave,,GMA Kamuning,,Cubao,,Santolan,,Ortigas,
,,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit
2026-01-02,03:00 - 03:59,,,,,,,,,,,,
2026-01-02,04:00 - 04:59,367,0,378,2,549,6,621,31,12,25,50,122
2026-01-02,05:00 - 05:59,1654,323,962,252,1361,262,1875,736,58,210,213,1001
2026-01-02,06:00 - 06:59,2906,706,1537,547,1583,461,2292,1500,113,439,468,1750
2026-01-02,07:00 - 07:59,3482,946,1593,712,1317,624,2642,1784,150,587,537,2454
2026-01-02,08:00 - 08:59,2524,794,1267,572,1105,559,2374,1588,129,478,342,2031
2026-01-02,09:00 - 09:59,1992,905,1122,443,918,423,2343,1618,154,442,312,1430
2026-01-02,10:00 - 10:59,1839,1129,973,533,954,486,2037,1614,155,587,322,873
2026-01-02,11:00 - 11:59,1936,1133,1010,511,1005,407,2365,1759,167,405,324,1110
2026-01-02,12:00 - 12:59,1988,1234,1019,501,955,482,2321,1724,161,390,370,1124
2026-01-02,13:00 - 13:59,1617,1233,886,517,806,483,2239,1834,199,317,398,992
2026-01-02,14:00 - 14:59,1698,1412,843,673,753,631,2084,2053,235,301,634,740
2026-01-02,15:00 - 15:59,1568,1600,782,870,760,722,2208,2603,298,239,1139,716
2026-01-02,16:00 - 16:59,1732,2151,910,967,779,1025,2424,2901,369,234,1429,809
2026-01-02,17:00 - 17:59,1755,2855,939,1167,872,1326,2700,3745,704,212,2392,810
2026-01-02,18:00 - 18:59,1778,2990,794,1395,750,1418,2492,4425,596,198,2540,743
2026-01-02,19:00 - 19:59,1728,2679,734,1479,630,1117,2270,3579,394,158,1644,778
2026-01-02,20:00 - 20:59,1821,1578,710,1091,457,727,2018,2502,374,116,1032,951
2026-01-02,21:00 - 21:59,1253,1449,438,955,303,722,1357,2203,349,103,848,608
2026-01-02,22:00 - 22:59,348,882,113,841,92,603,448,1324,303,36,1062,239
2026-01-02,23:00 - 23:59,0,279,2,373,0,163,22,457,24,14,152,66
2026-01-02,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-02,01:00 - 01:59,,,,,,,,,,,,
2026-01-02,02:00 - 02:59,,,,,,,,,,,,
,TOTAL,33986,26278,17012,14401,15949,12647,39132,39980,4944,5491,16208,19347
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-01-03 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,
,TIME,North Ave,,Quezon Ave,,GMA Kamuning,,Cubao,,Santolan,,Ortigas,
,,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit
2026-01-03,03:00 - 03:59,,,,,,,,,,,,
2026-01-03,04:00 - 04:59,270,0,326,2,351,2,443,31,12,27,38,65
2026-01-03,05:00 - 05:59,958,281,880,234,1005,231,1388,757,72,162,236,711
2026-01-03,06:00 - 06:59,1337,848,1059,593,987,538,1771,1490,80,247,746,932
2026-01-03,07:00 - 07:59,1481,1290,1050,812,921,640,1941,1877,125,393,785,1057
2026-01-03,08:00 - 08:59,1853,989,1125,657,820,624,2257,1655,119,413,456,1094
2026-01-03,09:00 - 09:59,1711,1195,1121,552,827,512,2112,1721,144,440,476,1164
2026-01-03,10:00 - 10:59,1699,1151,1053,535,865,406,2182,1670,119,624,351,928
2026-01-03,11:00 - 11:59,1917,1347,1061,559,866,490,2329,1939,184,442,367,1050
2026-01-03,12:00 - 12:59,2037,1502,1060,479,842,514,2507,2134,216,418,449,1157
2026-01-03,13:00 - 13:59,1670,1484,855,596,798,546,2347,2176,231,318,454,946
2026-01-03,14:00 - 14:59,1565,1534,776,682,762,616,2348,2170,267,268,612,804
2026-01-03,15:00 - 15:59,1688,1790,826,995,704,799,2509,2690,321,243,925,774
2026-01-03,16:00 - 16:59,1846,2081,948,1075,774,1274,2763,3053,449,283,1338,738
2026-01-03,17:00 - 17:59,1852,2283,920,1214,785,1298,2760,3345,568,265,1281,786
2026-01-03,18:00 - 18:59,1601,2013,710,1050,680,1044,2490,3119,395,198,1279,587
2026-01-03,19:00 - 19:59,1643,1911,638,1192,500,1034,2095,2887,354,135,1064,525
2026-01-03,20:00 - 20:59,1462,1672,544,949,440,774,1788,2391,359,104,826,475
2026-01-03,21:00 - 21:59,594,1360,226,862,222,777,1208,2051,373,93,750,381
2026-01-03,22:00 - 22:59,0,793,6,682,4,477,145,933,137,28,537,114
2026-01-03,23:00 - 23:59,,,,,,,,,,,,
2026-01-03,00:00 - 00:59,,,,,,,,,,,,
2026-01-03,01:00 - 01:59,,,,,,,,,,,,
2026-01-03,03:00 - 03:59,,,,,,,,,,,,
,TOTAL,27184,25524,15184,13720,13153,12596,37383,38089,4525,5101,12970,14288
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026-01-04 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,
,TIME,North Ave,,Quezon Ave,,GMA Kamuning,,Cubao,,Santolan,,Ortigas,
,,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit,Entry,Exit
2026-01-04,03:00 - 03:59,,,,,,,,,,,,
2026-01-04,04:00 - 04:59,211,0,224,4.1,228,4.3,333,38.7,6,22.7,37,50.3
2026-01-04,05:00 - 05:59,652,217.9,565,157.9,553,200.4,1067,541.5,57,134.2,134,521.1
2026-01-04,06:00 - 06:59,808,570,611,430.8,626,392.1,1198,982.7,67,121,339,539
2026-01-04,07:00 - 07:59,1009,753.9,606,488.2,604,532.2,1407,1252.4,77,175.8,424,657.8
2026-01-04,08:00 - 08:59,1286,686.7,854,539.2,685,449,1657,1301.8,89,275.8,271,837
2026-01-04,09:00 - 09:59,1551,1035.4,1003,451.7,868,434.2,2010,1546,101,363.9,265,1082.1
2026-01-04,10:00 - 10:59,1449,1073.4,951,434.2,754,440.9,1931,1535.1,117,566,275,919.3
2026-01-04,11:00 - 11:59,1563,1242.8,958,479.3,828,402.7,2277,1699.2,108,396,304,975.9
2026-01-04,12:00 - 12:59,1778,1318.1,935,496.1,787,465.9,2463,1864.8,184,416,404,1057.9
2026-01-04,13:00 - 13:59,1780,1251.2,892,638.6,769,562.6,2523,2098.7,196,307.2,439,1105.7
2026-01-04,14:00 - 14:59,1666,1603.2,745,591.7,720,668.2,2430,2348.2,176,298.7,624,861.7
2026-01-04,15:00 - 15:59,1825,1765.7,816,837.2,812,811.4,2581,2672.9,284,239.9,802,775.9
